品牌索引,品牌名称,车系名称,车型,汽车型号,气缸数,气缸排列形式,气门数,变速箱,排量,环保标准,上市时间,能源类型,燃油标号,整车质保,座位数（个）,后悬架类型,驻车制动类型,时间
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.9T 510HP 四叶草版,4,V,4,8挡手自一体,2.9,国VI,2019.07,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:54.935236
A,阿斯顿·马丁,阿斯顿·马丁,Rapide,2017款 6.0L S,4,V,4,8挡手自一体,6.0,欧V,2017.01,汽油,95号,三年不限公里,4,螺旋弹簧双叉臂独立悬架,电子驻车,2019-09-27 12:28:55.798497
A,阿斯顿·马丁,阿斯顿·马丁,V8 Vantage,2018款 4.0T V8,4,V,4,8挡手自一体,4.0,欧V,2017.11,汽油,95号,三年不限公里,2,多连杆螺旋弹簧独立式,电子驻车,2019-09-27 12:28:56.867428
A,阿斯顿·马丁,阿斯顿·马丁,V8 Vantage,2019款 4.0T V8 珊瑚橘,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-27 12:28:57.053313
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 AMR,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-27 12:28:58.520671
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 NC500 限量版,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-27 12:28:58.717577
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 AMR 荣耀限量版,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-27 12:28:58.912458
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 4.0T V8 Volante,4,V,4,8挡手自一体,4.0,国V,2017.10,汽油,95号,三年不限公里,4,多连杆螺旋弹簧独立式,电子驻车,2019-09-27 12:28:59.106336
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 5.2T V12 Coupe,4,V,4,8挡手自一体,5.2,欧V,2017.10,汽油,95号,三年不限公里,4,多连杆螺旋弹簧独立式,电子驻车,2019-09-27 12:28:59.299216
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 4.0T V8 Coupe,4,V,4,8挡手自一体,4.0,国V,2017.10,汽油,95号,三年不限公里,4,多连杆螺旋弹簧独立式,电子驻车,2019-09-27 12:28:59.541677
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 4.0T V8 Volante 云水蓝,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-27 12:28:59.748551
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DBS,2019款 DBS Superleggera Volante,4,V,4,8挡手自一体,5.2,欧VI,2019.04,汽油,95号,待查,4,多连杆式独立悬架,电子驻车,2019-09-27 12:29:00.421168
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DBS,2019款 DBS Superleggera,4,V,4,8挡手自一体,5.2,欧VI,2018.06,汽油,95号,待查,4,多连杆式独立悬架,电子驻车,2019-09-27 12:29:00.639707
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 风尚型 国VI,4,L,4,7挡双离合,1.4,国VI,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:01.997529
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 运动型 国VI,4,L,4,7挡双离合,1.4,国VI,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:02.190441
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 40 TFSI 运动型 国V,4,L,4,7挡双离合,2.0,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:02.562211
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 运动型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:02.743128
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 40 TFSI 风尚型 国V,4,L,4,7挡双离合,2.0,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:02.949011
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 运动型 国VI,4,L,4,7挡双离合,1.4,国VI,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:04.200163
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 风尚型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:04.434873
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 40 TFSI 风尚型 国V,4,L,4,7挡双离合,2.0,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:04.689714
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 进取型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:04.878597
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 风尚型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:05.126451
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 40 TFSI 运动型 国V,4,L,4,7挡双离合,2.0,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:05.330316
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 时尚型 国VI,4,L,4,7挡双离合,1.4,国VI,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:05.568172
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 40 TFSI 风尚型 国VI,4,L,4,7挡双离合,2.0,国VI,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:06.022166
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 进取型 国VI,4,L,4,7挡双离合,1.4,国VI,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:06.469614
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 风尚型 国VI,4,L,4,7挡双离合,1.4,国VI,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:06.664496
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 40 TFSI 风尚型 国VI,4,L,4,7挡双离合,2.0,国VI,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:07.085233
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 时尚型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:07.286138
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 时尚型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:07.680583
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 进取型 国VI,4,L,4,7挡双离合,1.4,国VI,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:07.911443
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 40 TFSI 运动型 国VI,4,L,4,7挡双离合,2.0,国VI,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:08.129309
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 时尚型 国VI,4,L,4,7挡双离合,1.4,国VI,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:08.321185
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 40 TFSI 运动型 国VI,4,L,4,7挡双离合,2.0,国VI,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:08.573093
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 进取型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:08.763232
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 运动型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:08.975099
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 进取型 国VI,4,L,4,7挡双离合,2.0,国VI,2018.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:09.523382
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,4,L,4,7挡双离合,2.0,国VI,2018.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:09.730259
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 运动型 国VI,4,L,4,7挡双离合,2.0,国VI,2018.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:10.234608
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 45 TFSI quattro 个性运动版 国VI,4,L,4,7挡双离合,2.0,国VI,2018.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:10.399505
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 45 TFSI quattro 运动型 国VI,4,L,4,7挡双离合,2.0,国VI,2018.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:10.579390
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 45 TFSI quattro 运动型 国V,4,L,4,7挡双离合,2.0,国V,2018.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:10.766278
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 35 TFSI 进取型 国VI,4,L,4,7挡双离合,2.0,国VI,2018.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:10.917181
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 45 TFSI quattro 个性运动版 国V,4,L,4,7挡双离合,2.0,国V,2018.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:11.092072
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 35 TFSI 进取型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:11.271667
A,奥迪,一汽-大众奥迪,奥迪A4L,2018款 30周年年型 30 TFSI 进取型,4,L,4,7挡双离合,1.4,国V,2017.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:11.476543
A,奥迪,一汽-大众奥迪,奥迪A4L,2018款 30周年年型 40 TFSI 运动型,4,L,4,7挡双离合,2.0,国V,2017.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:11.659426
A,奥迪,一汽-大众奥迪,奥迪A4L,2018款 30周年年型 40 TFSI 时尚型,4,L,4,7挡双离合,2.0,国V,2017.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:11.838314
A,奥迪,一汽-大众奥迪,奥迪A4L,2018款 30周年年型 40 TFSI 进取型,4,L,4,7挡双离合,2.0,国V,2017.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:12.064177
A,奥迪,一汽-大众奥迪,奥迪A4L,2018款 30周年年型 45 TFSI quattro 个性运动版,4,L,4,7挡双离合,2.0,国V,2017.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:12.264051
A,奥迪,一汽-大众奥迪,奥迪A4L,2018款 30周年年型 45 TFSI quattro 运动型,4,L,4,7挡双离合,2.0,国V,2017.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:12.488911
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国V,4,L,4,7挡双离合,2.0,国V,2018.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:12.686841
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 进取型 国V,4,L,4,7挡双离合,2.0,国V,2018.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:12.950347
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 运动型 国V,4,L,4,7挡双离合,2.0,国V,2018.10,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:13.175203
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选致雅型,4,L,4,7挡双离合,2.0,国VI,2019.01,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:13.836442
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 40 TFSI 豪华动感型,4,L,4,7挡双离合,2.0,国VI,2019.01,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:14.037314
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,4,L,4,7挡双离合,2.0,国VI,2019.01,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:14.229197
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI quattro 尊享动感型,4,L,4,7挡双离合,2.0,国VI,2019.01,汽油,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 12:29:14.382099
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 55 TFSI quattro 旗舰动感型,4,V,4,7挡双离合,3.0,国VI,2019.01,汽油+48V轻混系统,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 12:29:14.587370
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 55 TFSI quattro 尊享动感型,4,V,4,7挡双离合,3.0,国VI,2019.01,汽油+48V轻混系统,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 12:29:14.760267
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI quattro 尊享致雅型,4,L,4,7挡双离合,2.0,国VI,2019.01,汽油,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 12:29:15.146027
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 55 TFSI quattro 旗舰致雅型,4,V,4,7挡双离合,3.0,国VI,2019.01,汽油+48V轻混系统,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 12:29:15.434605
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI quattro 臻选致雅型,4,L,4,7挡双离合,2.0,国VI,2019.01,汽油,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 12:29:15.631493
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI quattro 臻选动感型,4,L,4,7挡双离合,2.0,国VI,2019.01,汽油,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 12:29:15.823388
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 40 TFSI 豪华致雅型,4,L,4,7挡双离合,2.0,国VI,2019.01,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 12:29:16.015309
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 55 TFSI quattro 尊享致雅型,4,V,4,7挡双离合,3.0,国VI,2019.01,汽油+48V轻混系统,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 12:29:16.226174
A,奥迪,一汽-大众奥迪,奥迪A6L新能源,2018款 40 e-tron,4,L,4,8挡手自一体,2.0,国V,2017.12,插电式混合动力,95号,待查,5,梯形连杆式独立悬架,电子驻车,2019-09-27 12:29:16.800549
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 豪华致雅型 国VI,4,L,4,7挡双离合,1.4,国VI,2019.06,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:17.352208
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 上市专享版 国VI,4,L,4,7挡双离合,1.4,国VI,2019.06,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:17.520110
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 进取动感型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:17.744967
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 时尚动感型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:17.933537
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 豪华致雅型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:18.113424
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 上市专享版 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:18.299311
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 进取动感型 国VI,4,L,4,7挡双离合,1.4,国VI,2019.06,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:18.623146
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 时尚致雅型 国VI,4,L,4,7挡双离合,1.4,国VI,2019.06,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:18.791036
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 时尚动感型 国VI,4,L,4,7挡双离合,1.4,国VI,2019.06,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:18.966560
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 时尚致雅型 国V,4,L,4,7挡双离合,1.4,国V,2018.10,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:19.132533
A,奥迪,一汽-大众奥迪,奥迪Q3,2019款 35 TFSI 时尚动感型,4,L,4,7挡双离合,1.4,国VI,2019.04,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:19.842180
A,奥迪,一汽-大众奥迪,奥迪Q3,2019款 35 TFSI 进取致雅型,4,L,4,7挡双离合,1.4,国VI,2019.04,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:20.009074
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 时尚型典藏版,4,L,4,6挡双离合,1.4,国V,暂无数据,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 12:29:20.158981
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 风尚型典藏版,4,L,4,6挡双离合,1.4,国V,暂无数据,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 12:29:20.366873
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 35 TFSI 运动型典藏版,4,L,4,7挡双离合,2.0,国V,暂无数据,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 12:29:20.643301
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 35 TFSI 时尚型典藏版,4,L,4,7挡双离合,2.0,国V,暂无数据,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 12:29:20.833211
A,奥迪,一汽-大众奥迪,奥迪Q3,2019款 35 TFSI 时尚致雅型,4,L,4,7挡双离合,1.4,国VI,2019.04,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:21.021100
A,奥迪,一汽-大众奥迪,奥迪Q3,2019款 40 TFSI quattro 时尚动感型,4,L,4,7挡双离合,2.0,国VI,2019.04,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:29:21.204980
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 30周年年型 30 TFSI 标准型,4,L,4,6挡双离合,1.4,国V,2017.12,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 12:29:21.416470
