品牌索引,品牌名称,车系名称,车型,汽车型号,气缸数,气缸排列形式,气门数,变速箱,排量,环保标准,上市时间,能源类型,燃油标号,整车质保,座位数（个）,后悬架类型,驻车制动类型,时间
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2017款 2.0T 200HP 精英版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:40.726833
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.9T 510HP F1限量版,4,V,4,8挡手自一体,2.9,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:40.898709
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2017款 2.0T 200HP 豪华版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:41.211193
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2018款 2.9T 510HP 四叶草版,4,V,4,8挡手自一体,2.9,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:41.383062
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.0T 280HP Black Package黑标限量版,4,L,4,8挡手自一体,2.0,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:41.523685
A,阿斯顿·马丁,阿斯顿·马丁,Rapide,2017款 6.0L S,4,V,4,8挡手自一体,6.0,欧V,欧V,汽油,95号,三年不限公里,4,螺旋弹簧双叉臂独立悬架,电子驻车,2019-09-27 08:51:42.332174
A,阿斯顿·马丁,阿斯顿·马丁,V8 Vantage,2018款 4.0T V8,4,V,4,8挡手自一体,4.0,欧V,欧V,汽油,95号,三年不限公里,2,多连杆螺旋弹簧独立式,电子驻车,2019-09-27 08:51:42.982703
A,阿斯顿·马丁,阿斯顿·马丁,V8 Vantage,2019款 4.0T V8 珊瑚橘,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-27 08:51:43.201436
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 AMR 荣耀限量版,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-27 08:51:44.092030
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 4.0T V8 Volante 云水蓝,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-27 08:51:44.248310
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 NC500 限量版,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-27 08:51:44.498273
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 4.0T V8 Coupe,4,V,4,8挡手自一体,4.0,国V,国V,汽油,95号,三年不限公里,4,多连杆螺旋弹簧独立式,电子驻车,2019-09-27 08:51:45.013876
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 4.0T V8 Volante,4,V,4,8挡手自一体,4.0,国V,国V,汽油,95号,三年不限公里,4,多连杆螺旋弹簧独立式,电子驻车,2019-09-27 08:51:45.310740
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 5.2T V12 Coupe,4,V,4,8挡手自一体,5.2,欧V,欧V,汽油,95号,三年不限公里,4,多连杆螺旋弹簧独立式,电子驻车,2019-09-27 08:51:45.466982
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 AMR,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-27 08:51:45.685725
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DBS,2019款 DBS Superleggera,4,V,4,8挡手自一体,5.2,欧VI,欧VI,汽油,95号,待查,4,多连杆式独立悬架,电子驻车,2019-09-27 08:51:46.373236
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DBS,2019款 DBS Superleggera Volante,4,V,4,8挡手自一体,5.2,欧VI,欧VI,汽油,95号,待查,4,多连杆式独立悬架,电子驻车,2019-09-27 08:51:46.545097
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 40 TFSI 运动型 国V,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:47.716903
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 运动型 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:47.904397
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 运动型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:48.076267
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 40 TFSI 风尚型 国VI,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:48.263764
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 40 TFSI 运动型 国VI,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:48.539208
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 风尚型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:48.711085
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 风尚型 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:48.914193
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 时尚型 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:49.351678
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 进取型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:49.539174
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 40 TFSI 运动型 国V,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:49.789162
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 风尚型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:50.195398
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 40 TFSI 风尚型 国VI,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:50.382891
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 时尚型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:50.554761
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 进取型 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:50.773504
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 时尚型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:50.976621
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 时尚型 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:51.117243
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 40 TFSI 风尚型 国V,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:51.273485
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 进取型 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:51.429732
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 40 TFSI 运动型 国VI,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:51.695349
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 运动型 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:51.867215
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 40 TFSI 风尚型 国V,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:52.179704
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 运动型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:52.382834
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 进取型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:52.539068
A,奥迪,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 风尚型 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:52.726560
A,奥迪,一汽-大众奥迪,奥迪A4L,2018款 30周年年型 30 TFSI 进取型,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:53.210921
A,奥迪,一汽-大众奥迪,奥迪A4L,2018款 30周年年型 40 TFSI 运动型,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:53.398412
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 45 TFSI quattro 个性运动版 国V,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:53.632782
A,奥迪,一汽-大众奥迪,奥迪A4L,2018款 30周年年型 45 TFSI quattro 运动型,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:53.851521
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 进取型 国V,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:54.257759
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:54.648371
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国V,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:54.913986
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 35 TFSI 进取型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:55.257726
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 运动型 国V,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:55.476465
A,奥迪,一汽-大众奥迪,奥迪A4L,2018款 30周年年型 40 TFSI 时尚型,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:55.648339
A,奥迪,一汽-大众奥迪,奥迪A4L,2018款 30周年年型 45 TFSI quattro 个性运动版,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:55.835829
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 35 TFSI 进取型 国VI,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:56.085824
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 进取型 国VI,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:56.257691
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 45 TFSI quattro 运动型 国V,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:56.570178
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 45 TFSI quattro 个性运动版 国VI,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:57.007665
A,奥迪,一汽-大众奥迪,奥迪A4L,2018款 30周年年型 40 TFSI 进取型,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:57.195158
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 运动型 国VI,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:57.367026
A,奥迪,一汽-大众奥迪,奥迪A4L,2019款 45 TFSI quattro 运动型 国VI,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:57.585768
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI quattro 尊享动感型,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 08:51:58.413866
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 55 TFSI quattro 旗舰动感型,4,V,4,7挡双离合,3.0,国VI,国VI,汽油+48V轻混系统,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 08:51:58.632610
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选致雅型,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:58.945095
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 40 TFSI 豪华致雅型,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:51:59.101339
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI quattro 尊享致雅型,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 08:51:59.366955
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI quattro 臻选致雅型,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 08:51:59.585699
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 55 TFSI quattro 尊享致雅型,4,V,4,7挡双离合,3.0,国VI,国VI,汽油+48V轻混系统,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 08:51:59.913812
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI quattro 臻选动感型,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 08:52:00.101306
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 40 TFSI 豪华动感型,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:52:00.320047
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 55 TFSI quattro 尊享动感型,4,V,4,7挡双离合,3.0,国VI,国VI,汽油+48V轻混系统,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 08:52:00.491916
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,五连杆式独立悬架,电子驻车,2019-09-27 08:52:00.695035
A,奥迪,一汽-大众奥迪,奥迪A6L,2019款 55 TFSI quattro 旗舰致雅型,4,V,4,7挡双离合,3.0,国VI,国VI,汽油+48V轻混系统,95号,三年或10万公里,5,五连杆独立悬架,电子驻车,2019-09-27 08:52:00.929402
A,奥迪,一汽-大众奥迪,奥迪A6L新能源,2018款 40 e-tron,4,L,4,8挡手自一体,2.0,国V,国V,插电式混合动力,95号,待查,5,梯形连杆式独立悬架,电子驻车,2019-09-27 08:52:01.835619
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 时尚致雅型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:02.366852
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 上市专享版 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:02.726216
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 上市专享版 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:03.054327
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 豪华致雅型 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:03.257444
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 时尚动感型 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:03.444941
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 时尚动感型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:03.663682
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 进取动感型 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:04.148040
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 进取动感型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:04.319909
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 豪华致雅型 国V,4,L,4,7挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:04.507403
A,奥迪,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 时尚致雅型 国VI,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:04.710522
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 30周年年型 30 TFSI 标准型,4,L,4,6挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 08:52:05.397996
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 35 TFSI 时尚型典藏版,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 08:52:05.569866
A,奥迪,一汽-大众奥迪,奥迪Q3,2019款 35 TFSI 时尚致雅型,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:05.991726
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 30周年年型 30 TFSI 时尚型,4,L,4,6挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 08:52:06.147977
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 35 TFSI 运动型典藏版,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 08:52:06.382338
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 风尚型典藏版,4,L,4,6挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 08:52:06.819831
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 30周年年型 35 TFSI 运动型,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 08:52:07.132316
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 30周年年型 35 TFSI 时尚型,4,L,4,7挡双离合,2.0,国V,国V,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 08:52:07.319808
A,奥迪,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 时尚型典藏版,4,L,4,6挡双离合,1.4,国V,国V,汽油,95号,三年或10万公里,5,四连杆独立悬架,电子驻车,2019-09-27 08:52:07.476050
A,奥迪,一汽-大众奥迪,奥迪Q3,2019款 35 TFSI 进取动感型,4,L,4,7挡双离合,1.4,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:07.647924
A,奥迪,一汽-大众奥迪,奥迪Q3,2019款 40 TFSI 时尚致雅型,4,L,4,7挡双离合,2.0,国VI,国VI,汽油,95号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:52:07.835413
