,品牌索引,品牌名称,车系名称,车型,时间
140,B,北京汽车,北京汽车,绅宝X65,2019-07-08 11:29:30.475063
141,B,北京汽车,北京汽车,绅宝智道,2019-07-08 11:29:30.475063
142,B,北京汽车,北京汽车,绅宝智行,2019-07-08 11:29:30.475063
143,B,北京汽车,北京汽车,北京汽车E系列(停售),2019-07-08 11:29:30.475063
144,B,北京汽车,北京汽车,绅宝CC(停售),2019-07-08 11:29:30.475063
145,B,北京汽车,北京汽车,绅宝D20(停售),2019-07-08 11:29:30.475063
146,B,北京汽车,北京汽车,绅宝D60(停售),2019-07-08 11:29:30.475063
147,B,北京汽车,北京汽车,绅宝D80(停售),2019-07-08 11:29:30.475063
148,B,北京清行,北京清行,清行400,2019-07-08 11:29:30.475063
149,B,北汽昌河,北汽昌河,北斗星X5E,2019-07-08 11:29:30.475063
150,B,北汽昌河,北汽昌河,北汽昌河A6,2019-07-08 11:29:30.475063
151,B,北汽昌河,北汽昌河,北汽昌河M50,2019-07-08 11:29:30.475063
152,B,北汽昌河,北汽昌河,北汽昌河M70,2019-07-08 11:29:30.475063
153,B,北汽昌河,北汽昌河,北汽昌河Q25,2019-07-08 11:29:30.475063
154,B,北汽昌河,北汽昌河,北汽昌河Q35,2019-07-08 11:29:30.475063
155,B,北汽昌河,北汽昌河,北汽昌河Q7,2019-07-08 11:29:30.475063
156,B,北汽昌河,北汽昌河,昌河北斗星,2019-07-08 11:29:30.475063
157,B,北汽昌河,北汽昌河,福瑞达K21,2019-07-08 11:29:30.475063
158,B,北汽昌河,北汽昌河,福瑞达K22,2019-07-08 11:29:30.475063
159,B,北汽昌河,北汽昌河,爱迪尔(停售),2019-07-08 11:29:30.475063
160,B,北汽昌河,北汽昌河,福瑞达(停售),2019-07-08 11:29:30.475063
161,B,北汽昌河,北汽昌河,福运(停售),2019-07-08 11:29:30.475063
162,B,北汽道达,北汽瑞丽,道达V8,2019-07-08 11:29:30.475063
163,B,北汽幻速,北汽银翔,北汽幻速H2,2019-07-08 11:29:30.475063
164,B,北汽幻速,北汽银翔,北汽幻速H2V,2019-07-08 11:29:30.475063
165,B,北汽幻速,北汽银翔,北汽幻速H3,2019-07-08 11:29:30.475063
166,B,北汽幻速,北汽银翔,北汽幻速H5,2019-07-08 11:29:30.475063
167,B,北汽幻速,北汽银翔,北汽幻速H6,2019-07-08 11:29:30.475063
168,B,北汽幻速,北汽银翔,北汽幻速S2,2019-07-08 11:29:30.475063
169,B,北汽幻速,北汽银翔,北汽幻速S3,2019-07-08 11:29:30.475063
170,B,北汽幻速,北汽银翔,北汽幻速S5,2019-07-08 11:29:30.475063
171,B,北汽幻速,北汽银翔,北汽幻速S6,2019-07-08 11:29:30.475063
172,B,北汽幻速,北汽银翔,北汽幻速S7,2019-07-08 11:29:30.475063
173,B,北汽威旺,北京汽车,北汽威旺306,2019-07-08 11:29:30.475063
174,B,北汽威旺,北京汽车,北汽威旺307,2019-07-08 11:29:30.475063
175,B,北汽威旺,北京汽车,北汽威旺M20,2019-07-08 11:29:30.475063
176,B,北汽威旺,北京汽车,北汽威旺M30,2019-07-08 11:29:30.475063
177,B,北汽威旺,北京汽车,北汽威旺M50F,2019-07-08 11:29:30.475063
178,B,北汽威旺,北京汽车,北汽威旺M60,2019-07-08 11:29:30.475063
179,B,北汽威旺,北京汽车,北汽威旺S50,2019-07-08 11:29:30.475063
180,B,北汽威旺,北京汽车,北汽威旺205(停售),2019-07-08 11:29:30.475063
181,B,北汽威旺,北京汽车,北汽威旺M35(停售),2019-07-08 11:29:30.475063
182,B,北汽威旺,北京汽车,北汽威旺T205-D(停售),2019-07-08 11:29:30.475063
183,B,北汽威旺,北京汽车制造厂,北汽007(停售),2019-07-08 11:29:30.475063
184,B,北汽威旺,北汽新能源,北汽威旺407EV,2019-07-08 11:29:30.475063
185,B,北汽新能源,北汽新能源,北汽新能源EC5,2019-07-08 11:29:30.475063
186,B,北汽新能源,北汽新能源,EC系列,2019-07-08 11:29:30.475063
187,B,北汽新能源,北汽新能源,EU系列,2019-07-08 11:29:30.475063
188,B,北汽新能源,北汽新能源,EX系列,2019-07-08 11:29:30.475063
189,B,北汽新能源,北汽新能源,北汽新能源EC3,2019-07-08 11:29:30.475063
190,B,北汽新能源,北汽新能源,北汽新能源EU5,2019-07-08 11:29:30.475063
191,B,北汽新能源,北汽新能源,北汽新能源EX3,2019-07-08 11:29:30.475063
192,B,北汽新能源,北汽新能源,北汽新能源EX5,2019-07-08 11:29:30.475063
193,B,北汽新能源,北汽新能源,EH系列(停售),2019-07-08 11:29:30.475063
194,B,北汽新能源,北汽新能源,EV系列(停售),2019-07-08 11:29:30.475063
195,B,北汽新能源,北汽新能源,北汽新能源ES210(停售),2019-07-08 11:29:30.475063
196,B,北汽制造,北京汽车制造厂,BJ 212,2019-07-08 11:29:30.475063
197,B,北汽制造,北京汽车制造厂,北京BW007,2019-07-08 11:29:30.475063
198,B,北汽制造,北京汽车制造厂,陆霸,2019-07-08 11:29:30.475063
199,B,北汽制造,北京汽车制造厂,锐铃,2019-07-08 11:29:30.475063
200,B,北汽制造,北京汽车制造厂,勇士,2019-07-08 11:29:30.475063
201,B,北汽制造,北京汽车制造厂,勇士皮卡,2019-07-08 11:29:30.475063
202,B,北汽制造,北京汽车制造厂,越铃,2019-07-08 11:29:30.475063
203,B,北汽制造,北京汽车制造厂,战旗,2019-07-08 11:29:30.475063
204,B,北汽制造,北京汽车制造厂,战旗皮卡,2019-07-08 11:29:30.475063
205,B,北汽制造,北京汽车制造厂,陆铃(停售),2019-07-08 11:29:30.475063
206,B,北汽制造,北京汽车制造厂,骑士S12(停售),2019-07-08 11:29:30.475063
207,B,奔驰,北京奔驰,奔驰A级,2019-07-08 11:29:30.475063
208,B,奔驰,北京奔驰,奔驰C级,2019-07-08 11:29:30.475063
209,B,奔驰,北京奔驰,奔驰E级,2019-07-08 11:29:30.475063
210,B,奔驰,北京奔驰,奔驰GLA,2019-07-08 11:29:30.475063
211,B,奔驰,北京奔驰,奔驰GLC,2019-07-08 11:29:30.475063
212,B,奔驰,北京奔驰,奔驰C级新能源(停售),2019-07-08 11:29:30.475063
213,B,奔驰,北京奔驰,奔驰GLK级(停售),2019-07-08 11:29:30.475063
214,B,奔驰,福建奔驰,奔驰V级,2019-07-08 11:29:30.475063
215,B,奔驰,福建奔驰,凌特,2019-07-08 11:29:30.475063
216,B,奔驰,福建奔驰,威霆,2019-07-08 11:29:30.475063
217,B,奔驰,福建奔驰,唯雅诺(停售),2019-07-08 11:29:30.475063
218,B,奔驰,奔驰(进口),Sprinter,2019-07-08 11:29:30.475063
219,B,奔驰,奔驰(进口),奔驰A级(进口),2019-07-08 11:29:30.475063
220,B,奔驰,奔驰(进口),奔驰B级,2019-07-08 11:29:30.475063
221,B,奔驰,奔驰(进口),奔驰CLA级,2019-07-08 11:29:30.475063
222,B,奔驰,奔驰(进口),奔驰CLS级,2019-07-08 11:29:30.475063
223,B,奔驰,奔驰(进口),奔驰C级(进口),2019-07-08 11:29:30.475063
224,B,奔驰,奔驰(进口),奔驰E级(进口),2019-07-08 11:29:30.475063
225,B,奔驰,奔驰(进口),奔驰GLA(进口),2019-07-08 11:29:30.475063
226,B,奔驰,奔驰(进口),奔驰GLC(进口),2019-07-08 11:29:30.475063
227,B,奔驰,奔驰(进口),奔驰GLE,2019-07-08 11:29:30.475063
228,B,奔驰,奔驰(进口),奔驰GLS,2019-07-08 11:29:30.475063
229,B,奔驰,奔驰(进口),奔驰G级,2019-07-08 11:29:30.475063
230,B,奔驰,奔驰(进口),奔驰SLC级,2019-07-08 11:29:30.475063
231,B,奔驰,奔驰(进口),奔驰SL级,2019-07-08 11:29:30.475063
232,B,奔驰,奔驰(进口),奔驰S级,2019-07-08 11:29:30.475063
233,B,奔驰,奔驰(进口),奔驰S级新能源,2019-07-08 11:29:30.475063
234,B,奔驰,奔驰(进口),威霆(进口),2019-07-08 11:29:30.475063
235,B,奔驰,奔驰(进口),奔驰CLK级(停售),2019-07-08 11:29:30.475063
236,B,奔驰,奔驰(进口),奔驰CL级(停售),2019-07-08 11:29:30.475063
237,B,奔驰,奔驰(进口),奔驰GLE新能源(停售),2019-07-08 11:29:30.475063
238,B,奔驰,奔驰(进口),奔驰GLK级(进口)(停售),2019-07-08 11:29:30.475063
239,B,奔驰,奔驰(进口),奔驰GL级(停售),2019-07-08 11:29:30.475063
240,B,奔驰,奔驰(进口),奔驰M级(停售),2019-07-08 11:29:30.475063
241,B,奔驰,奔驰(进口),奔驰R级(停售),2019-07-08 11:29:30.475063
242,B,奔驰,奔驰(进口),奔驰SLK级(停售),2019-07-08 11:29:30.475063
243,B,奔驰,奔驰(进口),唯雅诺(进口)(停售),2019-07-08 11:29:30.475063
244,B,奔驰,梅赛德斯-AMG,AMG GT,2019-07-08 11:29:30.475063
245,B,奔驰,梅赛德斯-AMG,奔驰A级AMG(进口),2019-07-08 11:29:30.475063
246,B,奔驰,梅赛德斯-AMG,奔驰CLA级AMG,2019-07-08 11:29:30.475063
247,B,奔驰,梅赛德斯-AMG,奔驰CLS级AMG,2019-07-08 11:29:30.475063
248,B,奔驰,梅赛德斯-AMG,奔驰C级AMG,2019-07-08 11:29:30.475063
249,B,奔驰,梅赛德斯-AMG,奔驰E级AMG,2019-07-08 11:29:30.475063
250,B,奔驰,梅赛德斯-AMG,奔驰GLA AMG,2019-07-08 11:29:30.475063
251,B,奔驰,梅赛德斯-AMG,奔驰GLC AMG,2019-07-08 11:29:30.475063
252,B,奔驰,梅赛德斯-AMG,奔驰GLE AMG,2019-07-08 11:29:30.475063
253,B,奔驰,梅赛德斯-AMG,奔驰GLS AMG,2019-07-08 11:29:30.475063
254,B,奔驰,梅赛德斯-AMG,奔驰G级AMG,2019-07-08 11:29:30.475063
255,B,奔驰,梅赛德斯-AMG,奔驰SLK级AMG,2019-07-08 11:29:30.475063
256,B,奔驰,梅赛德斯-AMG,奔驰SL级AMG,2019-07-08 11:29:30.475063
257,B,奔驰,梅赛德斯-AMG,奔驰S级AMG,2019-07-08 11:29:30.475063
258,B,奔驰,梅赛德斯-AMG,奔驰GL级AMG(停售),2019-07-08 11:29:30.475063
259,B,奔驰,梅赛德斯-AMG,奔驰M级AMG(停售),2019-07-08 11:29:30.475063
260,B,奔驰,梅赛德斯-AMG,奔驰SLS级AMG(停售),2019-07-08 11:29:30.475063
261,B,奔驰,梅赛德斯-迈巴赫,迈巴赫S级,2019-07-08 11:29:30.475063
262,B,奔腾,一汽奔腾,奔腾B30,2019-07-08 11:29:30.475063
263,B,奔腾,一汽奔腾,奔腾B30EV,2019-07-08 11:29:30.475063
264,B,奔腾,一汽奔腾,奔腾B50,2019-07-08 11:29:30.475063
265,B,奔腾,一汽奔腾,奔腾B70,2019-07-08 11:29:30.475063
266,B,奔腾,一汽奔腾,奔腾B90,2019-07-08 11:29:30.475063
267,B,奔腾,一汽奔腾,奔腾T77,2019-07-08 11:29:30.475063
268,B,奔腾,一汽奔腾,奔腾X40,2019-07-08 11:29:30.475063
269,B,奔腾,一汽奔腾,奔腾X40新能源,2019-07-08 11:29:30.475063
270,B,奔腾,一汽奔腾,奔腾X80,2019-07-08 11:29:30.475063
271,B,本田,东风本田,INSPIRE,2019-07-08 11:29:30.475063
272,B,本田,东风本田,艾力绅,2019-07-08 11:29:30.475063
273,B,本田,东风本田,本田CR-V,2019-07-08 11:29:30.475063
274,B,本田,东风本田,本田UR-V,2019-07-08 11:29:30.475063
275,B,本田,东风本田,本田XR-V,2019-07-08 11:29:30.475063
276,B,本田,东风本田,哥瑞,2019-07-08 11:29:30.475063
277,B,本田,东风本田,杰德,2019-07-08 11:29:30.475063
278,B,本田,东风本田,竞瑞,2019-07-08 11:29:30.475063
279,B,本田,东风本田,思铂睿,2019-07-08 11:29:30.475063
280,B,本田,东风本田,思域,2019-07-08 11:29:30.475063
281,B,本田,东风本田,享域,2019-07-08 11:29:30.475063
282,B,本田,广汽本田,奥德赛,2019-07-08 11:29:30.475063
283,B,本田,广汽本田,缤智,2019-07-08 11:29:30.475063
284,B,本田,广汽本田,飞度,2019-07-08 11:29:30.475063
285,B,本田,广汽本田,锋范,2019-07-08 11:29:30.475063
286,B,本田,广汽本田,冠道,2019-07-08 11:29:30.475063
287,B,本田,广汽本田,凌派,2019-07-08 11:29:30.475063
288,B,本田,广汽本田,雅阁,2019-07-08 11:29:30.475063
289,B,本田,广汽本田,锋范经典(停售),2019-07-08 11:29:30.475063
290,B,本田,广汽本田,歌诗图(停售),2019-07-08 11:29:30.475063
291,B,本田,广汽本田,思迪(停售),2019-07-08 11:29:30.475063
292,B,本田,本田(进口),INSIGHT,2019-07-08 11:29:30.475063
293,B,本田,本田(进口),本田CR-Z,2019-07-08 11:29:30.475562
294,B,本田,本田(进口),飞度(进口),2019-07-08 11:29:30.475562
295,B,本田,本田(进口),里程,2019-07-08 11:29:30.475562
296,B,本田,本田(进口),时韵(停售),2019-07-08 11:29:30.475562
297,B,比速汽车,比速汽车,比速M3,2019-07-08 11:29:30.475562
298,B,比速汽车,比速汽车,比速T3,2019-07-08 11:29:30.475562
299,B,比速汽车,比速汽车,比速T5,2019-07-08 11:29:30.475562
300,B,比亚迪,比亚迪,比亚迪e1,2019-07-08 11:29:30.475562
301,B,比亚迪,比亚迪,比亚迪e6,2019-07-08 11:29:30.475562
302,B,比亚迪,比亚迪,比亚迪F3,2019-07-08 11:29:30.475562
303,B,比亚迪,比亚迪,比亚迪S2,2019-07-08 11:29:30.475562
304,B,比亚迪,比亚迪,秦,2019-07-08 11:29:30.475562
305,B,比亚迪,比亚迪,秦Pro,2019-07-08 11:29:30.475562
306,B,比亚迪,比亚迪,秦Pro新能源,2019-07-08 11:29:30.475562
307,B,比亚迪,比亚迪,宋,2019-07-08 11:29:30.475562
308,B,比亚迪,比亚迪,宋MAX,2019-07-08 11:29:30.475562
309,B,比亚迪,比亚迪,宋MAX新能源,2019-07-08 11:29:30.475562
310,B,比亚迪,比亚迪,宋新能源,2019-07-08 11:29:30.475562
311,B,比亚迪,比亚迪,速锐,2019-07-08 11:29:30.475562
312,B,比亚迪,比亚迪,唐,2019-07-08 11:29:30.475562
313,B,比亚迪,比亚迪,唐新能源,2019-07-08 11:29:30.475562
314,B,比亚迪,比亚迪,元,2019-07-08 11:29:30.475562
315,B,比亚迪,比亚迪,元新能源,2019-07-08 11:29:30.475562
316,B,比亚迪,比亚迪,比亚迪e5(停售),2019-07-08 11:29:30.475562
317,B,比亚迪,比亚迪,比亚迪F0(停售),2019-07-08 11:29:30.475562
318,B,比亚迪,比亚迪,比亚迪F3R(停售),2019-07-08 11:29:30.475562
319,B,比亚迪,比亚迪,比亚迪F3新能源(停售),2019-07-08 11:29:30.475562
320,B,比亚迪,比亚迪,比亚迪F6(停售),2019-07-08 11:29:30.475562
321,B,比亚迪,比亚迪,比亚迪G3(停售),2019-07-08 11:29:30.475562
322,B,比亚迪,比亚迪,比亚迪G3R(停售),2019-07-08 11:29:30.475562
323,B,比亚迪,比亚迪,比亚迪G5(停售),2019-07-08 11:29:30.475562
324,B,比亚迪,比亚迪,比亚迪G6(停售),2019-07-08 11:29:30.475562
325,B,比亚迪,比亚迪,比亚迪L3(停售),2019-07-08 11:29:30.475562
326,B,比亚迪,比亚迪,比亚迪M6(停售),2019-07-08 11:29:30.475562
327,B,比亚迪,比亚迪,比亚迪S6(停售),2019-07-08 11:29:30.475562
328,B,比亚迪,比亚迪,比亚迪S7(停售),2019-07-08 11:29:30.475562
329,B,比亚迪,比亚迪,比亚迪S8(停售),2019-07-08 11:29:30.475562
330,B,比亚迪,比亚迪,福莱尔(停售),2019-07-08 11:29:30.475562
331,B,比亚迪,比亚迪,思锐(停售),2019-07-08 11:29:30.475562
332,B,标致,东风标致,标致2008,2019-07-08 11:29:30.475562
333,B,标致,东风标致,标致3008,2019-07-08 11:29:30.475562
334,B,标致,东风标致,标致301,2019-07-08 11:29:30.475562
335,B,标致,东风标致,标致308,2019-07-08 11:29:30.475562
336,B,标致,东风标致,标致4008,2019-07-08 11:29:30.475562
337,B,标致,东风标致,标致408,2019-07-08 11:29:30.475562
