商品ID,产品型号,评论内容,点赞,评分,评论id,会员级别,评论时间
100006808184,8GB+128GB 黑色,期待已久的手机，我哪个乐视3超级手机就是因为电池不行了才想换的，纠结用黑鲨还是rog，最后选了rog，因为电池大，因为电竞屏等，发货速度真快，第二天就收到了，赶紧体验了两天再来评价的，这手机有酷酷的外观，尤其是呼吸灯拉风漂亮，好多功能正在探索中，,7,5,j***8,银牌会员,2019-08-04 10:00:11
100006808184,8GB+128GB 黑色,"眼睛值3000，手机499(,,?&omega;?,,) logo很帅气，自带的控制中心很好，和游戏本差不多的感觉，120hz高刷新率屏幕肯定是电竞必备，60hz的屏幕还是别挂出来卖了，855打游戏很爽，3499真香",1,5,往事随风_x,金牌会员,2019-08-12 10:00:23
100006808184,8GB+128GB 黑色,老早就想换个游戏手机，刚好看到ROG手机发布会，一看瞬间心动了，深夜开抢，居然抢到了，手机上手手感比想象中的要好，非常喜欢背部设计，喜欢这个logo?开机打了把王者，这个120Hz的屏幕看着是真舒服啊，大爱120Hz屏，玩了把王者，看不出掉电，电池#！！！进游戏速度很快，很棒，超级流畅。玩吃鸡，农药画质都开到最高，画质还是很好。就是看中了跟~合作才买的，没失望，很Nice。ROG败家之眼，确实很败家啊，两个败家走到了一起果然#！！！,24,5,彭达书,金牌会员,2019-07-30 19:32:49
100006808184,8GB+128GB 黑色,UFS3.0 速度很快，首发的855plus打起游戏丝滑般的流畅，多个麦克风，开黑非常有用，游戏加载速度很快，第一感觉就是大和重，6000毫安的大电池真的不是吹的。屏幕真的很大但打游戏看视频很爽，机身厚度还行，手感也不错。最重要的是120的赫兹刷新，显示非常流畅。不愧是游戏手机rog！,5,5,jd-7241,PLUS会员,2019-08-04 10:00:17
100006808184,8GB+128GB 黑色,超级好用一代和二代都买了，比一代强太多了，系统上很多一代不足的地方都改进了，二代最喜欢的还是背盖上那种炫光线条，很像RGB灯效果。比一代炫太多了建议还没入手的赶紧，给朋友抢的512到现在没发货等了他都急死了，哈哈,5,5,z***6,钻石会员,2019-08-06 16:57:24
100006808184,8GB+128GB 黑色,不错，不错，买了两台和朋友一起买的，各方面都不错阿，眼睛亮点哈哈，还有机身玻璃加金属真不错的设计，玩游戏的温度真好，不热，屏幕能接受，不算太差了，照相能接受，日常用可以的，游戏手机就不在乎拍照这么多了，希望华硕手机越做越好，电脑的配件也很多也用华硕的。以后还会支持。,4,5,宋先生爱运动,PLUS会员,2019-08-07 10:00:04
100006808184,8GB+128GB 黑色,昨晚十二点就打开京东等待rog手机上架，今天下午就送到了  手机很惊艳，地表最强骁龙855plus  电池超强   发布会就一直关注了  终于拿到手了   和我的电脑一样的眼睛  真的帅 X模式  游戏体验超好  双扬声器音质不错  没买到的小伙伴  等下一波抓紧  ???,47,5,未***d,PLUS会员,2019-07-31 00:00:12
100006808184,8GB+128GB 黑色,手机到手了，使用流畅，打游戏一级棒，路转粉。玩了把游戏，看不出掉电，电池#，果然是亲生的，打农药时灯亮起来，值了值了。安装软件果然快USF3.0真不错。琢磨了下QQ飞车，120就是给力，这次败家的价格真香。给力,108,5,大***9,PLUS会员,2019-07-30 18:52:56
100006808184,8GB+128GB 黑色,很nice，非常炫酷，打游戏特别爽，大电池无需担心续航，双扬声器简直被要太爽，这才是游戏手机该有的样子。京东物流#，真心快。,9,5,瓦特啊呦肚影,银牌会员,2019-07-31 00:00:23
100006808184,8GB+128GB 黑色,7月31日晚上12点准时抢到首发机，果然没有让我失望，现在市面上最强机能，没有之一，120赫兹很顺滑，电池强大，正常使用可以1天以上。屏幕完全没有网上说得那么差，其实已经很不错的，现在水军大多了，自己用过才知道。腾讯游戏加持，直接就送你心悦会员v1，游戏精灵很方便，直接调出，还可以同步看温度，帧数，就像电脑游戏那样。肩键很方便，特别射击游戏，不用再接手柄了。耳机口保留，很好，玩游戏就要有线耳机。喇叭音响给力。灯光很炫。基本就一台水桶机，唯一就是系统相对华为的，差一点，一键换机的功能对苹果用户不友好，只能icloud下载资料，不像华为换机那样直接扫二维码就可以了。,3,5,z***p,钻石会员,2019-07-31 00:00:23
100004048991,12GB+512GB 黑色,第一，信号好，比一加7好很多，在车上也很好第二，打游戏舒服，作为一名和平精英高玩，的确很中意这款，可以边充电边玩游戏第三，充电也很快第四，屏幕属于国产天马屏，不是很加分，系统有些许小bug,16,5,Lshmael卡龙,PLUS会员,2019-07-31 00:00:13
100006808184,8GB+128GB 黑色,凌晨12点抢到的，没想到第二天就到货了。京东这速度，看来是匹配这个手机。显示屏非常清晰，最高可以120刷新频率。机身修长，握着，拿着手感都非常好。目前最强大的CPU了，真是没得说，液冷散热，感觉不错。背面标志性的，败家之眼，真是喜欢啊。音量不错啊，开机的时候，震撼了一下。6000毫安大电池，游戏半天，还剩百分之60多，非常满意。,1,5,jd_132141ebo,PLUS会员,2019-07-31 00:00:16
100006808184,8GB+128GB 黑色,真正的游戏手机，外放给力，电量给力，速度给力，更爽的是刷新率，亲手体验过就放不下了，玩几把吃鸡，发热控制满意，屏幕没那么坑，至少我觉得不差，这个价位，值了。,0,5,jd一剑钟情,PLUS会员,2019-08-04 10:00:54
100006808184,8GB+128GB 黑色,手机真的棒，拆开包装被惊艳了，这手机外观真是太帅了，超级酷。手感很棒，都不舍得用手机壳了。运行真的是一点都不卡顿，完美流畅运行，玩游戏很轻松，只是微微发热，简直可以同时玩两个吃鸡。很棒！支持！希望游戏手机越做越好！物流很快，隔天就到了，等不及派件直接去营业点自提了，赞！,2,5,伊凡n,PLUS会员,2019-08-04 10:00:09
100006808184,8GB+128GB 黑色,非常喜欢的败家之眼，第一代买了，继续买第二代，外形很帅，很酷!尤其是~加持太给力了！最讨厌打游戏没电挂个充电宝难受，玩了一把王者，没有掉电，就是牛，6000的电池确实惊人呀！玩游戏，声效很立体！,7,5,w***1,PLUS会员,2019-07-30 19:33:23
100006808184,8GB+128GB 黑色,期待已久的眼睛，确实是惊艳，120的帧游戏确实稳定，网络稳定，发热控制得很好，音质比起黑鲨鱼确实好太多，之前有台黑鲨，屏幕累眼睛，音质不好，rog确实是做游戏的手机，实力是不容许跑分作弊的，见证奇迹的时刻，rog值得拥有，虽然是阉割版，毕竟价钱实在,10,5,jd_mmkk55160,PLUS会员,2019-07-31 00:00:17
100006808184,8GB+128GB 黑色,7.31抢到，8.2上午到货。激动了一天。直接到家拆机，比起一代rog，总体显示屏更清晰，最高可以120刷新频率。机身更修长，更适合游戏玩家。面部识别加指纹识别都超级好用。触压开启X模式，cpu直接最高2.4Mhz。感觉已经是王者了！充满电在游戏状态下显示可以超过20小时时间。各种方便小功能发现中，****超级好用，绝对物超所值。,2,5,oHFBvMRKzJKS,铜牌会员,2019-07-31 10:00:03
100006808184,8GB+128GB 黑色,手机用了几天再来评论的！手机性能强劲，电池很给力，120hz的刷新率用起来也很爽，屏幕没有网上那些云买家说的那样不堪，散热做的也可以，手机暂时挑不出什么毛病，下面是和一加7Pro的对比图,3,5,峰起云涌dyk,银牌会员,2019-07-31 00:00:57
100006808184,8GB+128GB 黑色,手机终于到手了，每次都要预约抢，手机外形很帅气，玩了把王者，看不出掉电，电池很给力，打游戏很顺畅，X模式的灯光效果很棒，而且还配有耳机孔，难得，玩吃鸡、农药画质都开了最高，画质感特别好，非常的赞??????,2,5,芒***的,PLUS会员,2019-08-04 10:03:01
100006808184,8GB+128GB 黑色,第一次用华硕的手机，没有想到让人很惊讶，做工之好，性能之强大，待机时间长了去了，6000的电池，太夸张了，这玩起游戏来，电量足够了，加上骁龙855plus加持，地标最强安卓处理器，120刷新率的屏幕，玩游戏能起飞,3,5,snsun,PLUS会员,2019-08-04 10:02:02
100006808184,8GB+128GB 黑色,很开心，抢到了啊，比小米好抢，应该备货还可以吧。拿到手果然感觉不一样，很有分量，很长。6000的电池待机用着超爽，终于不用一天三冲了。背光很酷啊，可以设置很多效果，绝对吸引眼球的,0,5,t***2,PLUS会员,2019-07-31 00:00:14
100006808184,8GB+128GB 黑色,手机外形很帅气，背面败家之眼灯光设置，酷。打游戏的一点都不卡，超爱120HZ电竞屏，而且6000电池给力，还可以反向充电，Rog和~联手，真的天生Buff.855plus，真香。为信仰充值。,3,5,j***0,金牌会员,2019-07-30 20:17:18
100006808184,8GB+128GB 黑色,好用的手机，京东快递做事很迅速，要啥有啥，指哪打哪的游戏感觉真的好，很棒很优秀的手机，打游戏就是要这样的流畅感觉，为了吃鸡买的手机，不是为了吃鸡，我也不会买这么好的机器，可惜的是没买到最顶配的那个，很可惜，可惜可惜的很！,2,5,落***通,PLUS会员,2019-08-04 10:00:14
100006808184,8GB+128GB 黑色,隔天就到手了，舒服，京东物流速度很快，手机外观很霸气，就是冲着信仰之眼来的，屏幕色彩分辨率都很好，触控很跟手，极限操作能快人一步，手机主题很炫酷，横屏玩游戏视野很好，不愧是游戏有机，感觉优化很用心，华硕加油，期待带来越来越好的产品！,12,5,liangzusen,PLUS会员,2019-07-31 00:00:18
100006808184,8GB+128GB 黑色,期待已久的手机，收到后确实是惊艳，120的帧游戏确实稳定，发热控制得很好，音质比起黑鲨鱼确实好太多。总体都要比黑鲨强一些。6000的电池确实惊人呀！可以随心所欲，不用担心没电的问题了！玩游戏，声效很立体！支持华硕！支持京东！,0,5,jd_153508pfv,注册会员,2019-07-31 10:00:03
100006808184,8GB+128GB 黑色,我的地址没货，下的朋友地址寄回来。。。背面炫酷，一闪一闪的，打游戏也很舒服，声音又响又饱满，屏幕又大又宽，玩游戏没的说，非常专业的游戏手机，配置完全够用。屏幕清晰，颜色真实，看片很爽?，拍照也不错，手机又大又重不太方便携带，按游戏手机来说，应该是非常好的了。,3,5,TNT3301,PLUS会员,2019-08-07 10:00:58
100006808184,8GB+128GB 黑色,第一波抢到了，很开心。手机很好用，败家之眼果然炫酷，有了这个手机打游戏技术上升唰唰的，轻轻松松打上白银，哈哈，整体体验比较好，都很流畅，电池耐用，骁龙855加上120刷新率果然不是盖的，买的比较值，很喜欢。,0,5,无***啊,PLUS会员,2019-07-31 00:00:18
100006808184,8GB+128GB 黑色,完美漂亮 手感特别棒? 31号抢到今天终于到货了 谁说屏幕翻车了 到手之后可以看出那些垃圾喷子是多么的可恶！非常完美的手机 赞赞赞,1,5,jd_5067b7c94fd32,PLUS会员,2019-07-31 00:00:21
100006808184,8GB+128GB 黑色,一直以来，ROG是很多游戏玩家的信仰，去年，ROG推出了第一代游戏手机，顶级性能加持、极致视觉体验，带给玩家无与伦比的手游体验。时隔一年的时间，ROG游戏手机2强势来袭，再次为玩家打造最极致的游戏手机。此次的ROG游戏手机2无疑是一款追求极致手游体验的&ldquo;硬核&rdquo;旗舰。首发高通骁龙855 Plus在性能表现上无可挑剔，放眼手机市场难寻敌手。120Hz刷新率的AMOLED电竞屏，与主流60Hz刷新率的手机相比，大幅提升游戏流畅度，在这个同质化严重的手机市场，ROG游戏手机2凭借极具未来科技感的设计语言打破了常规。除此之外，AirTriggers 双肩键、6000mAh大容量电池等特点的加持，给玩家带来了地表最强的手游体验。,8,5,f***6,PLUS会员,2019-07-31 00:00:06
100006808184,8GB+128GB 黑色,续航真的很好，60hz下玩游戏比小米9不烫多了。低亮度下屏幕很脏，但是我根本用不到那么低的亮度。音质，马达，拍照都和好。用小米9的27w充电器充电挺快的。屏幕没想象中那么差，很仔细才能看到颗粒感，而且字体很清晰。可能第二批的比第一批的好吧,1,5,高玩强,金牌会员,2019-08-04 10:00:17
100006808184,8GB+128GB 黑色,配送非常快，上午下单晚上就到，用了大约一个周吧，除了晚上关灯玩眼睛比较累，其他时候还好；吃鸡非常给力，音响也非常棒，还自带Googleplay，别的游戏还没有陆续玩，等15号的狂野飙车9了！！！,0,5,S***s,银牌会员,2019-08-04 10:00:17
100006808184,8GB+128GB 黑色,使用感觉的非常的流畅，虽然精英版阉割了一些东西但是我没用过经典版也感觉不到，只知道精英版做的非常的好，至少我的是这样。而且以前一直纠结的精英版的金属散热好像很丑，没有经典版的玻璃散热好看，但是拿到手上却觉得金属散热的颜值也非常高！网速也很快，我下载楚留香&hellip;&hellip;一梦江湖的时候最快网速达到了6**/s以上！画质也可以开到最高，阴影不能开到最高一档估计是没出，120Hz的刷新率真的不是盖的。打开x模式的壁纸变换也很帅，不过**夏天的散热和加了风扇估计有很大的区别，昨天32度的高温，全画质楚留&hellip;&hellip;一梦江湖的时候手持温度估计达到了38度，按其他机型（不包括其他游戏手机，毕竟rog2是我买的第一款游戏手机）的热度对比，散热真的是一等一的好！总之，精英版性价比非常高，甚至物超所值，推荐购买！（当然我不知道其他机子和我的是不是一样的&hellip;&hellip;）,3,5,我看过天荒地老,注册会员,2019-07-31 00:00:38
100006808184,8GB+128GB 黑色,ROG游戏手机完完全全是华硕的风格，这是华硕手机历史上最不妥协手机，巨大的电池，炫目的眼睛，高昂的价格，绝无仅有，ROG游戏手机2与~游戏深度合作，内容深度适配硬件方面，~游戏采用了研发期硬件适配、高画质/高帧率版本提前适配、游戏事件和硬件的联动三种优化措施。简单点说，玩家们可以在ROG游戏手机2上玩到越来越多适配120Hz高刷新率的热门手游,2,5,卡布奇诺没有诺,钻石会员,2019-07-31 00:00:05
100006808184,8GB+128GB 黑色,上午下单下午就到手了，京东物流速度挺快。手机外观挺好看的，横屏玩游戏视野很好，不愧是游戏手机，冲着大电池来的，挺好的，期待以后带来更好的产品！ROG 游戏手机2主流旗舰配置，包括高通迄今为止性能最强的骁龙855+芯片，满意！,0,5,哆***9,PLUS会员,2019-08-04 10:00:11
100006808184,8GB+128GB 黑色,入手的第二台rog，之前买到的给朋友做生日礼物了，我们都是华硕的粉丝，重量是比我之前用的小米大概重了1/3左右，运行速度超级快，开应用基本都是秒开，本人很少玩游戏，选择这款最重要的一点就是电池足够大，6000的电池，比我之前的手机多了2/3。屏幕质量不太好，但是足够使用，120hz的屏幕，你还想要什么样的质量呢？总体来说，目前性价比最高的手机之一。,1,5,杪冬十六,PLUS会员,2019-08-07 10:07:32
100006808184,8GB+128GB 黑色,该手机外形帅气，败家之眼标志很酷，彰显了该手机的不凡。不愧是游戏定制手机，吃鸡的时候非常流畅，拿上这手机明显感觉游戏技术直线上升，带小姐姐吃鸡更有激情。6000毫安的电池，可以让我在工作中，旅途中，不在担心电量不足的问题。高通骁龙855plus处理器在性能上无可挑剔。显示屏很清晰，不愧是120Hz电竞屏。液冷散热让我这个炎热的夏天不在担心它烫手的问题。,4,5,随***l,PLUS会员,2019-07-31 00:00:08
100006808184,8GB+128GB 黑色,咋说呢，我以前用的就是黑鲨游戏手机，现在用败家之眼完全感觉没有过重的感觉，手机呢~游戏优化的特别好，无论是画质还是网络，话不多说，这个手机值这个价格,1,5,段小剑丶,银牌会员,2019-08-04 10:03:06
100006808184,8GB+128GB 黑色,手机隔天就收到了，京东物流还是一流的，迫不及待的开箱用了，看了网上说先不联网和插卡，点计算器.12345+=可以进入的测试模式，测试了安心了没翻车，屏幕没黄线黄斑，那个膜布效果我没介意，因为这手机优点很多，电池6000毫安，120刷新率，双肩键，都是我喜欢，只要屏幕品控做好，很多人会喜欢这手机的，性价比很高!,5,5,晓明Victor,PLUS会员,2019-08-04 10:00:30
100006808184,8GB+128GB 黑色,和同事一起抢的的，因为我手速够快，嘿嘿，充分说明rog2的火爆，这台给同事，之前看我手机到用了两天感觉还不错，所以也想换。多的不说，这手机值得拥有，各方面都很满意！,0,5,鎏曐911,PLUS会员,2019-08-04 10:00:09
100006808184,8GB+128GB 黑色,第一次用玩家国度手机。之前通过电脑了解这是华硕高端系列，因此想买这个信仰，因为是高档象征。手机使用发现有很多优点：x模式非常有科技感，外观设计也很时尚，手机反应速度超快。缺点屏幕调暗不理想。总体使用不错，希望以后不断更新和改善，玩家国度手机走在世界顶端！,0,5,白色风车柄,银牌会员,2019-07-31 00:08:43
100006808184,8GB+128GB 黑色,12号那天抢到了，很兴奋！物流很快，上午下单，下午就收到了，赞一个！用机体现：3499这价钱完全对得起这机子。跟描述的一致，棒棒的！个人认为，手机有点热，机子有点大。或许是小白，我感觉不出屏幕有些小问题，相反较一般的手机好。清晰，细腻，流畅！电池也是棒棒的，玩游戏完全不担心电量不足的问题，生活工作上也是一样，在这里再赞一个！照相清晰，可以与一般的旗舰机媲美！至于系统嘛，也许不习惯，习惯了觉得很好用。洁静，流畅！我对rog2的评价是：买了不后悔，价性比超高，感谢华硕给了我一个很好的体现！,0,5,j***7,注册会员,2019-08-12 10:03:17
100006808184,8GB+128GB 黑色,手机收到啦！哈哈哈，为什么今天评论呢 ，昨天玩的忘了 哈哈，手机的扬声器?，开机的时候吓了我一大跳，超立体声，声音有响，完美；手机上手手感比想象的好，喜欢背部设计；哪个手机有855+处理器？反正我的手机有，哈哈哈，羡慕么；大爱这个120HZ电竞屏，男人就要手速；最讨厌打游戏没电，这个6000电池真的是有点惊人；说真的，两个败家走一起了；玩吃鸡、农药画质都开了最高的，画质感还是很好；果然是亲生的，打农药时灯亮起来，值了值了；最后说一句：买眼睛送手机！,5,5,娃娃不听话呀,PLUS会员,2019-07-30 19:05:35
100006808184,8GB+128GB 黑色,真没想到第一批居然抢到了，之前一直用rog phone1代，二代明显厚重很多，这电池容量没的说，妈妈再也不用担心我的电量，120hz屏幕如丝般顺滑，触控也十分灵敏，音质比以前提升太多。坐地铁里来个电话rog的logo绝对有逼格,3,5,闭***鱼,钻石会员,2019-07-30 21:40:10
100006808184,8GB+128GB 黑色,新手机就是不一样，玩游戏可顺畅了，打王者非常顺手，一打就赢了，哈哈，手机手感特别好，顺手，喜欢的颜色喜欢的尺寸，另外发货速度特别快，上午抢的手机，没想到下午就收到了，包装得特别好，完好无损，给平台点个赞！,0,5,jd_781923793,PLUS会员,2019-08-07 10:15:43
100006808184,8GB+128GB 黑色,手机很大气 做工精致 背面特别帅 性能就不用说了 屏幕显示效果还算中规中矩 6000毫安大电池打游戏很爽 总体还是很满意的,0,5,174837593,PLUS会员,2019-08-12 10:01:59
100006808184,8GB+128GB 黑色,刚刚开始非常担心翻车~结果出乎意料~还不错~屏幕刚开始不习惯。过了段时间就好了。重量的确是非常有分量。不过总的来说。非常棒。一只眼睛值3499~机器白送~就是充值信仰~而且还持家有道~哈哈哈哈~值得推荐。真香,4,5,小***龙,PLUS会员,2019-08-07 10:00:10
100006808184,8GB+128GB 黑色,性能毋庸置疑当前安卓最强，散热能力确实挺强的，装上扩展风扇之后有凉爽的风吹向双手，续航非常棒，电池超大，外观很酷炫，信仰灯很有感觉,0,5,Z593507412,钻石会员,2019-07-30 18:48:11
100006808184,8GB+128GB 黑色,这手机不错的，符合我的要求，，买来玩游戏很爽，手机外形酷炫，配置也很高，灯也很漂亮，晚上拿出去很不错，，朋友都想买一台，希望快点开售吧。,0,5,jd_3270282366,PLUS会员,2019-07-31 00:00:07
100006808184,8GB+128GB 黑色,物流很快，收货时让朋友给拿的，包装完好，使用了一下，速度很快，玩游戏很有感觉，刚开始还感觉可能会入坑，使用之后成功脱坑，哈哈！,0,5,j***7,PLUS会员,2019-08-07 10:13:25
100006808184,8GB+128GB 黑色,一拆开上手，第一感觉就是大和重，屏幕真的很大但打游戏看视频很爽，机身厚度还行，手感不错。最重要的是120的刷新率和855plus处理器再加后盖的败家之眼，真是逼格满满，吊打其他游戏手机～最后打游戏真的很爽很顺滑哈,1,5,jd_溺水的鱼、,PLUS会员,2019-07-31 00:00:15
100006808184,8GB+128GB 黑色,最近太忙，上次表弟看到很喜欢就想帮他买一个，第二次没抢到，第三次以为没机会了，结果还抢到了。性能没得说，绝对强，弟很喜欢，还没拆封就拍照给我。同事也买了一个，确实很漂亮，拍照很清晰，关键是游戏性能，你能想到的，绝对爆炸。,0,5,j***1,PLUS会员,2019-08-07 10:07:29
100006808184,8GB+128GB 黑色,整体来说对这款手机很满意，这个配置又是rog卖这个价格，已经很可以了，使用了一天没什么问题，玩游戏更不用说非常流畅，大家普遍吐槽的屏幕确实是有些差，高亮度时没问题，在晚上黑天低亮度的时候观感很差，对屏幕有要求的朋友慎重考虑。拍照，待机时间也很满意，总体来说是值这个钱的。,0,5,l***2,PLUS会员,2019-08-07 10:00:25
100006808184,8GB+128GB 黑色,哪个手机有855+处理器？反正我的手机有，哈哈哈~羡慕么游戏很流畅！看介绍说有四个wifi稳定点UFS3.0，果然快哈哈哈超喜欢手机双肩键的设计，吃鸡666腾讯多出几款游戏阿，就是为了玩游戏才买的手机！这次败家的价格真香,1,5,MUZI鹏,铜牌会员,2019-07-31 00:00:21
100006808184,8GB+128GB 黑色,手机不错很漂亮，十分流畅。屏幕确实不怎样，像素密度滴，近距离肉眼可见像素颗粒，低亮度屏幕非常脏，屏幕在相机里观看频闪。如果能接受屏幕的话是一台不错的手机。我买这个手机的原因是这个手机长的帅，如果比品质和性能的话黑鲨2pro比这个要好。有想咨询这个手机问题的朋友可以搜我x信：陆幺叁叁⑧⑧柒肆,0,5,别***弃,PLUS会员[试用],2019-08-12 10:55:09
100006808184,8GB+128GB 黑色,本人ROG粉，定时来抢购手机。8月4日上午10点抢到，下午五点左右就收到货了，京东物流确实很牛。本来担心用不惯安卓手机，试了一下安卓现在的新版本，上手还是方便的，玩家国度对系统优化也不错。机器性能很好，屏幕很清晰，做工也一流，完全对得起价格。就算不玩游戏，做日常用手机也不错。,0,5,y***y,钻石会员,2019-08-04 10:00:16
100006808184,8GB+128GB 黑色,特别地日子，买上特别地手机。今日七夕抢上心意手机今日收到送给女朋友，好开心好喜欢！手机外观手感超一流，功能十分强劲，网速极为流畅，玩游戏非常非常捧，电池6000毫安挺耐用，散热挺快。此款手机最新顶配值得购买。超值。,1,5,jd_135327jto,PLUS会员,2019-08-07 10:07:01
100006808184,8GB+128GB 黑色,一拆开手机就感觉很高大上啊，很炫酷感觉，然后配置很高，带的那个散热系统非常好比以前的手机好多了，然后开机的那个效果太带感了，非常刺激，打游戏也很快啊，屏幕也好，感觉很舒服，这个买的很值了,2,5,J***7,注册会员,2019-07-30 19:07:55
100006808184,8GB+128GB 黑色,手机质量很好，没有翻车，屏幕总体还不错，性价比很高，最主要打游戏爽，iphone换rog，目前没有不适应，很棒。,0,5,jd_180177kqw,PLUS会员[试用],2019-08-04 10:00:21
100006808184,8GB+128GB 黑色,手机拿着有质感，外观高大上，机甲感很强烈，对游戏迷来讲大爱。游戏很流畅！看介绍说有四个WiFi稳定点，电池很给力，像我这种游戏党机不离手，这是良心设计啊！ROG手机自带散热手机，使用流畅，该说不说果然是亲生的，打农药时那个灯亮起来，值了值了值了三杀五杀的灯是真的#，简直就是整条街最亮的仔，室友已经忍不住了！哈哈哈。我是个需要buff的玩家！,2,5,孟***壹,注册会员,2019-07-30 20:57:35
